ordem;codigo_sessao;modulo;nome_modulo;objetivo_modulo;referencia_v3;topico_macro;nivel;tipo_sessao;titulo_aula;conteudo_programado;pratica;entrega;criterio_aprovacao;observacao
11;M0.03.03;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Organização do Windows para desenvolvimento;base;Exemplo aplicado ao domínio corporativo;Organização do Windows para desenvolvimento - Exemplo aplicado ao domínio corporativo;C:/dev, C:/dev/tools, C:/dev/projects, permissões, encoding, caminhos com espaço, boas práticas. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
12;M0.03.04;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Organização do Windows para desenvolvimento;base;Erros comuns, diagnóstico e perguntas de fixação;Organização do Windows para desenvolvimento - Erros comuns, diagnóstico e perguntas de fixação;C:/dev, C:/dev/tools, C:/dev/projects, permissões, encoding, caminhos com espaço, boas práticas. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;desafio aplicado, revisão técnica, perguntas de fixação e commit quando aplicável;entrega validada, documentação curta, critérios aprovados e Git limpo quando houver projeto;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
13;M0.04.01;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Terminal, PowerShell e comandos básicos;base;Conceito, por que existe e vocabulário essencial;Terminal, PowerShell e comandos básicos - Conceito, por que existe e vocabulário essencial;cd, dir, mkdir, copy, del, cls, history, execução de comandos, variáveis e troubleshooting. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend.;leitura guiada, mapa mental, perguntas orais e registro no diário;anotações, respostas de fixação e checklist conceitual;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
14;M0.04.02;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Terminal, PowerShell e comandos básicos;base;Exemplo mínimo digitado do zero;Terminal, PowerShell e comandos básicos - Exemplo mínimo digitado do zero;cd, dir, mkdir, copy, del, cls, history, execução de comandos, variáveis e troubleshooting. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
15;M0.04.03;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Terminal, PowerShell e comandos básicos;base;Exemplo aplicado ao domínio corporativo;Terminal, PowerShell e comandos básicos - Exemplo aplicado ao domínio corporativo;cd, dir, mkdir, copy, del, cls, history, execução de comandos, variáveis e troubleshooting. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
16;M0.04.04;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Terminal, PowerShell e comandos básicos;base;Erros comuns, diagnóstico e perguntas de fixação;Terminal, PowerShell e comandos básicos - Erros comuns, diagnóstico e perguntas de fixação;cd, dir, mkdir, copy, del, cls, history, execução de comandos, variáveis e troubleshooting. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;desafio aplicado, revisão técnica, perguntas de fixação e commit quando aplicável;entrega validada, documentação curta, critérios aprovados e Git limpo quando houver projeto;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
17;M0.05.01;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;JDK, JRE, JVM e escolha de versão LTS;base;Conceito, por que existe e vocabulário essencial;JDK, JRE, JVM e escolha de versão LTS - Conceito, por que existe e vocabulário essencial;diferenças, instalação, JAVA_HOME, Path, java -version, javac -version e compatibilidade. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend.;leitura guiada, mapa mental, perguntas orais e registro no diário;anotações, respostas de fixação e checklist conceitual;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
18;M0.05.02;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;JDK, JRE, JVM e escolha de versão LTS;base;Exemplo mínimo digitado do zero;JDK, JRE, JVM e escolha de versão LTS - Exemplo mínimo digitado do zero;diferenças, instalação, JAVA_HOME, Path, java -version, javac -version e compatibilidade. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
19;M0.05.03;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;JDK, JRE, JVM e escolha de versão LTS;base;Exemplo aplicado ao domínio corporativo;JDK, JRE, JVM e escolha de versão LTS - Exemplo aplicado ao domínio corporativo;diferenças, instalação, JAVA_HOME, Path, java -version, javac -version e compatibilidade. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
20;M0.05.04;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;JDK, JRE, JVM e escolha de versão LTS;base;Erros comuns, diagnóstico e perguntas de fixação;JDK, JRE, JVM e escolha de versão LTS - Erros comuns, diagnóstico e perguntas de fixação;diferenças, instalação, JAVA_HOME, Path, java -version, javac -version e compatibilidade. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;desafio aplicado, revisão técnica, perguntas de fixação e commit quando aplicável;entrega validada, documentação curta, critérios aprovados e Git limpo quando houver projeto;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
21;M0.06.01;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Compilação manual com javac;base;Conceito, por que existe e vocabulário essencial;Compilação manual com javac - Conceito, por que existe e vocabulário essencial;arquivo .java, bytecode .class, execução com java, erros de compilação e noção de classpath. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend.;leitura guiada, mapa mental, perguntas orais e registro no diário;anotações, respostas de fixação e checklist conceitual;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
22;M0.06.02;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Compilação manual com javac;base;Exemplo mínimo digitado do zero;Compilação manual com javac - Exemplo mínimo digitado do zero;arquivo .java, bytecode .class, execução com java, erros de compilação e noção de classpath. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
23;M0.06.03;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Compilação manual com javac;base;Exemplo aplicado ao domínio corporativo;Compilação manual com javac - Exemplo aplicado ao domínio corporativo;arquivo .java, bytecode .class, execução com java, erros de compilação e noção de classpath. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
24;M0.06.04;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Compilação manual com javac;base;Erros comuns, diagnóstico e perguntas de fixação;Compilação manual com javac - Erros comuns, diagnóstico e perguntas de fixação;arquivo .java, bytecode .class, execução com java, erros de compilação e noção de classpath. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;desafio aplicado, revisão técnica, perguntas de fixação e commit quando aplicável;entrega validada, documentação curta, critérios aprovados e Git limpo quando houver projeto;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
25;M0.07.01;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;IntelliJ IDEA Community completo;base;Conceito, por que existe e vocabulário essencial;IntelliJ IDEA Community completo - Conceito, por que existe e vocabulário essencial;projeto, SDK, run configurations, atalhos, formatação, terminal integrado, estrutura src. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend.;leitura guiada, mapa mental, perguntas orais e registro no diário;anotações, respostas de fixação e checklist conceitual;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
26;M0.07.02;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;IntelliJ IDEA Community completo;base;Exemplo mínimo digitado do zero;IntelliJ IDEA Community completo - Exemplo mínimo digitado do zero;projeto, SDK, run configurations, atalhos, formatação, terminal integrado, estrutura src. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
27;M0.07.03;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;IntelliJ IDEA Community completo;base;Exemplo aplicado ao domínio corporativo;IntelliJ IDEA Community completo - Exemplo aplicado ao domínio corporativo;projeto, SDK, run configurations, atalhos, formatação, terminal integrado, estrutura src. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
28;M0.07.04;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;IntelliJ IDEA Community completo;base;Erros comuns, diagnóstico e perguntas de fixação;IntelliJ IDEA Community completo - Erros comuns, diagnóstico e perguntas de fixação;projeto, SDK, run configurations, atalhos, formatação, terminal integrado, estrutura src. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;desafio aplicado, revisão técnica, perguntas de fixação e commit quando aplicável;entrega validada, documentação curta, critérios aprovados e Git limpo quando houver projeto;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
29;M0.08.01;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Debug inicial no IntelliJ;base;Conceito, por que existe e vocabulário essencial;Debug inicial no IntelliJ - Conceito, por que existe e vocabulário essencial;breakpoint, step over, step into, variables, watches, call stack e leitura de fluxo. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend.;leitura guiada, mapa mental, perguntas orais e registro no diário;anotações, respostas de fixação e checklist conceitual;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
30;M0.08.02;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Debug inicial no IntelliJ;base;Exemplo mínimo digitado do zero;Debug inicial no IntelliJ - Exemplo mínimo digitado do zero;breakpoint, step over, step into, variables, watches, call stack e leitura de fluxo. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
31;M0.08.03;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Debug inicial no IntelliJ;base;Exemplo aplicado ao domínio corporativo;Debug inicial no IntelliJ - Exemplo aplicado ao domínio corporativo;breakpoint, step over, step into, variables, watches, call stack e leitura de fluxo. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria.;digitar/implementar/desenhar junto, executar quando houver código e comparar resultado;código ou desenho funcional com evidência do resultado;Aluno consegue explicar com suas palavras, executar ou desenhar quando aplicável, responder perguntas, identificar erros comuns, atualizar diário e manter o repositório organizado.;"Esta é uma sessão operacional da v4.1; depois será transformada em arquivo de aula completo com teoria, exemplos, exercícios, perguntas, respostas e checklist."
