documento_mentor_proposto;arquivo_mentor_proposto;modulo;nome_modulo;topico_macro;primeira_sessao_v4_1;ultima_sessao_v4_1;quantidade_sessoes_cobertas;tipos_sessao_cobertos;conteudo_consolidado_da_grade;regra_de_cobertura
11;011_M0_11_GITHUB_E_REPOSITORIO_REMOTO.md;M0;Ambiente, método, ferramentas e rotina profissional;GitHub e repositório remoto;M0.11.01;M0.11.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;remote, push, pull, clone, README, visibilidade, tokens/credenciais e organização de portfólio. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | remote, push, pull, clone, README, visibilidade, tokens/credenciais e organização de portfólio. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | remote, push, pull, clone, README, visibilidade, tokens/credenciais e organização de portfólio. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | remote, push, pull, clone, README, visibilidade, tokens/credenciais e organização de portfólio. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
12;012_M0_12_MARKDOWN_PARA_DOCUMENTACAO_TECNICA.md;M0;Ambiente, método, ferramentas e rotina profissional;Markdown para documentação técnica;M0.12.01;M0.12.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;títulos, listas, blocos de código, tabelas, links, diário de bordo e padrão de aula. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | títulos, listas, blocos de código, tabelas, links, diário de bordo e padrão de aula. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | títulos, listas, blocos de código, tabelas, links, diário de bordo e padrão de aula. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | títulos, listas, blocos de código, tabelas, links, diário de bordo e padrão de aula. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
13;013_M0_13_DIARIO_DE_BORDO_E_RASTREABILIDADE_DO_APRENDIZADO.md;M0;Ambiente, método, ferramentas e rotina profissional;Diário de bordo e rastreabilidade do aprendizado;M0.13.01;M0.13.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;o que registrar, progresso, decisões, comandos, erros, prints e revisão futura. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | o que registrar, progresso, decisões, comandos, erros, prints e revisão futura. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | o que registrar, progresso, decisões, comandos, erros, prints e revisão futura. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | o que registrar, progresso, decisões, comandos, erros, prints e revisão futura. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
14;014_M0_14_CODEX_IA_NO_INTELLIJ_COM_ETICA_E_METODO.md;M0;Ambiente, método, ferramentas e rotina profissional;Codex/IA no IntelliJ com ética e método;M0.14.01;M0.14.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;prompts de explicação, revisão, testes, debugging, limites, não copiar sem entender. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | prompts de explicação, revisão, testes, debugging, limites, não copiar sem entender. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | prompts de explicação, revisão, testes, debugging, limites, não copiar sem entender. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | prompts de explicação, revisão, testes, debugging, limites, não copiar sem entender. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
15;015_M0_15_MAVEN_INSTALACAO_E_VALIDACAO_INICIAL.md;M0;Ambiente, método, ferramentas e rotina profissional;Maven instalação e validação inicial;M0.15.01;M0.15.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;MAVEN_HOME, Path, mvn -version, estrutura inicial e quando será aprofundado. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | MAVEN_HOME, Path, mvn -version, estrutura inicial e quando será aprofundado. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | MAVEN_HOME, Path, mvn -version, estrutura inicial e quando será aprofundado. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | MAVEN_HOME, Path, mvn -version, estrutura inicial e quando será aprofundado. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
16;016_M0_16_POSTGRESQL_E_DBEAVER_PREPARACAO.md;M0;Ambiente, método, ferramentas e rotina profissional;PostgreSQL e DBeaver preparação;M0.16.01;M0.16.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;instalação, porta, usuário postgres, database, conexão e troubleshooting básico. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | instalação, porta, usuário postgres, database, conexão e troubleshooting básico. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | instalação, porta, usuário postgres, database, conexão e troubleshooting básico. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | instalação, porta, usuário postgres, database, conexão e troubleshooting básico. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
17;017_M0_17_POSTMAN_INSOMNIA_E_HTTP_BASICO.md;M0;Ambiente, método, ferramentas e rotina profissional;Postman/Insomnia e HTTP básico;M0.17.01;M0.17.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;request, response, GET, POST, PUT, PATCH, DELETE, headers, body JSON, status codes. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | request, response, GET, POST, PUT, PATCH, DELETE, headers, body JSON, status codes. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | request, response, GET, POST, PUT, PATCH, DELETE, headers, body JSON, status codes. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | request, response, GET, POST, PUT, PATCH, DELETE, headers, body JSON, status codes. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
18;018_M0_18_DOCKER_DESKTOP_E_WSL2_PREPARACAO.md;M0;Ambiente, método, ferramentas e rotina profissional;Docker Desktop e WSL2 preparação;M0.18.01;M0.18.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;imagem, container, volume, porta, hello-world, erros comuns e uso futuro. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | imagem, container, volume, porta, hello-world, erros comuns e uso futuro. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | imagem, container, volume, porta, hello-world, erros comuns e uso futuro. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | imagem, container, volume, porta, hello-world, erros comuns e uso futuro. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
19;019_M0_19_ESTRUTURA_PROFISSIONAL_DO_REPOSITORIO_DE_CURSO.md;M0;Ambiente, método, ferramentas e rotina profissional;Estrutura profissional do repositório de curso;M0.19.01;M0.19.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;README, docs, src, commits por aula, padrões de nome e organização. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | README, docs, src, commits por aula, padrões de nome e organização. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | README, docs, src, commits por aula, padrões de nome e organização. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | README, docs, src, commits por aula, padrões de nome e organização. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
20;020_M0_20_CHECKLIST_FINAL_DO_AMBIENTE.md;M0;Ambiente, método, ferramentas e rotina profissional;Checklist final do ambiente;M0.20.01;M0.20.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;validar Java, Git, Maven, banco, Docker, IntelliJ, GitHub, documentação e rotina. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | validar Java, Git, Maven, banco, Docker, IntelliJ, GitHub, documentação e rotina. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | validar Java, Git, Maven, banco, Docker, IntelliJ, GitHub, documentação e rotina. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | validar Java, Git, Maven, banco, Docker, IntelliJ, GitHub, documentação e rotina. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
21;021_M1_01_PRIMEIRO_PROGRAMA_JAVA_DESTRINCHADO.md;M1;Java fundamentos absolutos e lógica aplicada;Primeiro programa Java destrinchado;M1.01.01;M1.01.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;class, public, static, void, main, String[] args, System.out.println e execução. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | class, public, static, void, main, String[] args, System.out.println e execução. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | class, public, static, void, main, String[] args, System.out.println e execução. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | class, public, static, void, main, String[] args, System.out.println e execução. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
22;022_M1_02_BLOCOS_CHAVES_INDENTACAO_E_LEITURA_DE_CODIGO.md;M1;Java fundamentos absolutos e lógica aplicada;Blocos, chaves, indentação e leitura de código;M1.02.01;M1.02.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;escopo visual, blocos aninhados, organização e formatação automática. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | escopo visual, blocos aninhados, organização e formatação automática. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | escopo visual, blocos aninhados, organização e formatação automática. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | escopo visual, blocos aninhados, organização e formatação automática. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
23;023_M1_03_COMENTARIOS_UTEIS_E_DOCUMENTACAO_INICIAL.md;M1;Java fundamentos absolutos e lógica aplicada;Comentários úteis e documentação inicial;M1.03.01;M1.03.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;comentário de linha, bloco, quando comentar e quando melhorar o nome do código. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | comentário de linha, bloco, quando comentar e quando melhorar o nome do código. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | comentário de linha, bloco, quando comentar e quando melhorar o nome do código. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | comentário de linha, bloco, quando comentar e quando melhorar o nome do código. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
24;024_M1_04_VARIAVEIS_E_NOMES_PROFISSIONAIS.md;M1;Java fundamentos absolutos e lógica aplicada;Variáveis e nomes profissionais;M1.04.01;M1.04.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;declaração, atribuição, alteração, intenção, camelCase e variáveis temporárias. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | declaração, atribuição, alteração, intenção, camelCase e variáveis temporárias. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | declaração, atribuição, alteração, intenção, camelCase e variáveis temporárias. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | declaração, atribuição, alteração, intenção, camelCase e variáveis temporárias. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
25;025_M1_05_TIPOS_INTEIROS_EM_JAVA.md;M1;Java fundamentos absolutos e lógica aplicada;Tipos inteiros em Java;M1.05.01;M1.05.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;byte, short, int, long, limites, overflow, sufixo L e escolha correta. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | byte, short, int, long, limites, overflow, sufixo L e escolha correta. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | byte, short, int, long, limites, overflow, sufixo L e escolha correta. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | byte, short, int, long, limites, overflow, sufixo L e escolha correta. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
26;026_M1_06_TIPOS_DECIMAIS_E_PRIMEIRAS_LIMITACOES.md;M1;Java fundamentos absolutos e lógica aplicada;Tipos decimais e primeiras limitações;M1.06.01;M1.06.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;float, double, casas decimais, imprecisão e aviso sobre BigDecimal. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | float, double, casas decimais, imprecisão e aviso sobre BigDecimal. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | float, double, casas decimais, imprecisão e aviso sobre BigDecimal. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | float, double, casas decimais, imprecisão e aviso sobre BigDecimal. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
27;027_M1_07_BOOLEAN_E_REGRAS_VERDADEIRAS_FALSAS.md;M1;Java fundamentos absolutos e lógica aplicada;boolean e regras verdadeiras/falsas;M1.07.01;M1.07.04;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;flags, condições, nomes booleanos e leitura de regra de negócio. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | flags, condições, nomes booleanos e leitura de regra de negócio. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | flags, condições, nomes booleanos e leitura de regra de negócio. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | flags, condições, nomes booleanos e leitura de regra de negócio. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;Aula mentorada única cobrindo integralmente todas as sessões operacionais deste tópico macro.
