documento;arquivo;codigo_topico;modulo;nome_modulo;objetivo_modulo;referencia_v3;topico_macro;nivel;sessoes_v4_1_fundidas;tipos_sessao_v4_1;conteudos_v4_1;decisao_pedagogica
14;014_M0_07_INTELLIJ_IDEA_COMMUNITY_COMPLETO.md;M0.07;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;IntelliJ IDEA Community completo;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;projeto, SDK, run configurations, atalhos, formatação, terminal integrado, estrutura src. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | projeto, SDK, run configurations, atalhos, formatação, terminal integrado, estrutura src. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | projeto, SDK, run configurations, atalhos, formatação, terminal integrado, estrutura src. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | projeto, SDK, run configurations, atalhos, formatação, terminal integrado, estrutura src. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
15;015_M0_08_DEBUG_INICIAL_NO_INTELLIJ.md;M0.08;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Debug inicial no IntelliJ;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;breakpoint, step over, step into, variables, watches, call stack e leitura de fluxo. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | breakpoint, step over, step into, variables, watches, call stack e leitura de fluxo. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | breakpoint, step over, step into, variables, watches, call stack e leitura de fluxo. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | breakpoint, step over, step into, variables, watches, call stack e leitura de fluxo. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
16;016_M0_09_GIT_INSTALACAO_E_CONFIGURACAO_GLOBAL.md;M0.09;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Git instalação e configuração global;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;git-scm, user.name, user.email, autocrlf, branch padrão, credenciais e validações. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | git-scm, user.name, user.email, autocrlf, branch padrão, credenciais e validações. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | git-scm, user.name, user.email, autocrlf, branch padrão, credenciais e validações. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | git-scm, user.name, user.email, autocrlf, branch padrão, credenciais e validações. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
17;017_M0_10_GIT_LOCAL_DO_ZERO.md;M0.10;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Git local do zero;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;init, status, add, commit, log, diff, restore, .gitignore e mensagens coerentes. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | init, status, add, commit, log, diff, restore, .gitignore e mensagens coerentes. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | init, status, add, commit, log, diff, restore, .gitignore e mensagens coerentes. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | init, status, add, commit, log, diff, restore, .gitignore e mensagens coerentes. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
18;018_M0_11_GITHUB_E_REPOSITORIO_REMOTO.md;M0.11;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;GitHub e repositório remoto;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;remote, push, pull, clone, README, visibilidade, tokens/credenciais e organização de portfólio. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | remote, push, pull, clone, README, visibilidade, tokens/credenciais e organização de portfólio. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | remote, push, pull, clone, README, visibilidade, tokens/credenciais e organização de portfólio. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | remote, push, pull, clone, README, visibilidade, tokens/credenciais e organização de portfólio. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
19;019_M0_12_MARKDOWN_PARA_DOCUMENTACAO_TECNICA.md;M0.12;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Markdown para documentação técnica;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;títulos, listas, blocos de código, tabelas, links, diário de bordo e padrão de aula. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | títulos, listas, blocos de código, tabelas, links, diário de bordo e padrão de aula. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | títulos, listas, blocos de código, tabelas, links, diário de bordo e padrão de aula. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | títulos, listas, blocos de código, tabelas, links, diário de bordo e padrão de aula. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
20;020_M0_13_DIARIO_DE_BORDO_E_RASTREABILIDADE_DO_APRENDIZADO.md;M0.13;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Diário de bordo e rastreabilidade do aprendizado;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;o que registrar, progresso, decisões, comandos, erros, prints e revisão futura. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | o que registrar, progresso, decisões, comandos, erros, prints e revisão futura. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | o que registrar, progresso, decisões, comandos, erros, prints e revisão futura. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | o que registrar, progresso, decisões, comandos, erros, prints e revisão futura. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
21;021_M0_14_CODEX_IA_NO_INTELLIJ_COM_ETICA_E_METODO.md;M0.14;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Codex/IA no IntelliJ com ética e método;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;prompts de explicação, revisão, testes, debugging, limites, não copiar sem entender. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | prompts de explicação, revisão, testes, debugging, limites, não copiar sem entender. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | prompts de explicação, revisão, testes, debugging, limites, não copiar sem entender. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | prompts de explicação, revisão, testes, debugging, limites, não copiar sem entender. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
22;022_M0_15_MAVEN_INSTALACAO_E_VALIDACAO_INICIAL.md;M0.15;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Maven instalação e validação inicial;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;MAVEN_HOME, Path, mvn -version, estrutura inicial e quando será aprofundado. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | MAVEN_HOME, Path, mvn -version, estrutura inicial e quando será aprofundado. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | MAVEN_HOME, Path, mvn -version, estrutura inicial e quando será aprofundado. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | MAVEN_HOME, Path, mvn -version, estrutura inicial e quando será aprofundado. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
23;023_M0_16_POSTGRESQL_E_DBEAVER_PREPARACAO.md;M0.16;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;PostgreSQL e DBeaver preparação;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;instalação, porta, usuário postgres, database, conexão e troubleshooting básico. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | instalação, porta, usuário postgres, database, conexão e troubleshooting básico. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | instalação, porta, usuário postgres, database, conexão e troubleshooting básico. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | instalação, porta, usuário postgres, database, conexão e troubleshooting básico. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
24;024_M0_17_POSTMAN_INSOMNIA_E_HTTP_BASICO.md;M0.17;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Postman/Insomnia e HTTP básico;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;request, response, GET, POST, PUT, PATCH, DELETE, headers, body JSON, status codes. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | request, response, GET, POST, PUT, PATCH, DELETE, headers, body JSON, status codes. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | request, response, GET, POST, PUT, PATCH, DELETE, headers, body JSON, status codes. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | request, response, GET, POST, PUT, PATCH, DELETE, headers, body JSON, status codes. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
25;025_M0_18_DOCKER_DESKTOP_E_WSL2_PREPARACAO.md;M0.18;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Docker Desktop e WSL2 preparação;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;imagem, container, volume, porta, hello-world, erros comuns e uso futuro. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | imagem, container, volume, porta, hello-world, erros comuns e uso futuro. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | imagem, container, volume, porta, hello-world, erros comuns e uso futuro. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | imagem, container, volume, porta, hello-world, erros comuns e uso futuro. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
26;026_M0_19_ESTRUTURA_PROFISSIONAL_DO_REPOSITORIO_DE_CURSO.md;M0.19;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Estrutura profissional do repositório de curso;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;README, docs, src, commits por aula, padrões de nome e organização. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | README, docs, src, commits por aula, padrões de nome e organização. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | README, docs, src, commits por aula, padrões de nome e organização. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | README, docs, src, commits por aula, padrões de nome e organização. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
27;027_M0_20_CHECKLIST_FINAL_DO_AMBIENTE.md;M0.20;M0;Ambiente, método, ferramentas e rotina profissional;Preparar o ambiente completo, a rotina de estudo, a disciplina de Git, a documentação e a forma correta de aprender com IA sem terceirizar raciocínio.;M0 - Ambiente e método;Checklist final do ambiente;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;validar Java, Git, Maven, banco, Docker, IntelliJ, GitHub, documentação e rotina. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | validar Java, Git, Maven, banco, Docker, IntelliJ, GitHub, documentação e rotina. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | validar Java, Git, Maven, banco, Docker, IntelliJ, GitHub, documentação e rotina. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | validar Java, Git, Maven, banco, Docker, IntelliJ, GitHub, documentação e rotina. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
28;028_M1_01_PRIMEIRO_PROGRAMA_JAVA_DESTRINCHADO.md;M1.01;M1;Java fundamentos absolutos e lógica aplicada;Construir base sólida de sintaxe, fluxo, entrada de dados, operadores, condicionais, laços, arrays, métodos e validação inicial.;M1 - Java fundamentos absolutos;Primeiro programa Java destrinchado;base;4;Conceito, por que existe e vocabulário essencial | Exemplo mínimo digitado do zero | Exemplo aplicado ao domínio corporativo | Erros comuns, diagnóstico e perguntas de fixação;class, public, static, void, main, String[] args, System.out.println e execução. Nesta sessão: explicar o conceito com analogias, termos corretos, limites e relação com Java/backend. | class, public, static, void, main, String[] args, System.out.println e execução. Nesta sessão: criar o menor código ou procedimento possível, executar e observar resultado. | class, public, static, void, main, String[] args, System.out.println e execução. Nesta sessão: aplicar o assunto em cenário de OS, cliente, produto, pedido, pagamento, auditoria ou mensageria. | class, public, static, void, main, String[] args, System.out.println e execução. Nesta sessão: quebrar de propósito, interpretar erro, responder perguntas e registrar checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
